,n_estimators,max_depth,weighted,fold_set,brier_loss,loss,acc,roc-auc,recall
exp104,100,8,False,2,0.06963,0.24858,0.90688,0.81297,0.00229
exp105,100,6,True,2,0.07242,0.25765,0.90667,0.80276,0.00000
exp106,100,6,False,2,0.07242,0.25765,0.90667,0.80276,0.00000
exp107,100,5,True,2,0.07350,0.26200,0.90667,0.79751,0.00000
exp108,100,5,False,2,0.07350,0.26200,0.90667,0.79751,0.00000
exp109,100,4,True,2,0.07572,0.26970,0.90667,0.78575,0.00000
exp110,100,4,False,2,0.07572,0.26970,0.90667,0.78575,0.00000
exp111,80,10,True,2,0.06835,0.24260,0.90830,0.82814,0.01764
exp112,80,10,False,2,0.06835,0.24260,0.90830,0.82814,0.01764
exp113,80,8,True,2,0.06962,0.24872,0.90685,0.81243,0.00193
exp114,80,8,False,2,0.06962,0.24872,0.90685,0.81243,0.00193
exp115,80,6,True,2,0.07332,0.26060,0.90667,0.79365,0.00000
exp116,80,6,False,2,0.07332,0.26060,0.90667,0.79365,0.00000
exp117,80,5,True,2,0.07410,0.26375,0.90667,0.79652,0.00000
exp118,80,5,False,2,0.07410,0.26375,0.90667,0.79652,0.00000
exp119,80,4,True,2,0.07610,0.27051,0.90667,0.79172,0.00000
exp120,80,4,False,2,0.07610,0.27051,0.90667,0.79172,0.00000
exp121,60,10,True,2,0.06755,0.23958,0.90883,0.83554,0.02329
exp122,60,10,False,2,0.06755,0.23958,0.90883,0.83554,0.02329
exp123,60,8,True,2,0.06945,0.24823,0.90699,0.81424,0.00350
exp124,60,8,False,2,0.06945,0.24823,0.90699,0.81424,0.00350
exp125,60,6,True,2,0.07242,0.25786,0.90667,0.79947,0.00000
exp126,60,6,False,2,0.07242,0.25786,0.90667,0.79947,0.00000
exp127,60,5,True,2,0.07337,0.26136,0.90667,0.80296,0.00000
exp128,60,5,False,2,0.07337,0.26136,0.90667,0.80296,0.00000
exp129,60,4,True,2,0.07604,0.27049,0.90667,0.78663,0.00000
exp130,60,4,False,2,0.07604,0.27049,0.90667,0.78663,0.00000
exp131,40,10,True,2,0.06735,0.24018,0.90888,0.82545,0.02407
exp132,40,10,False,2,0.06735,0.24018,0.90888,0.82545,0.02407
exp133,40,8,True,2,0.06892,0.24719,0.90785,0.81280,0.01271
exp134,40,8,False,2,0.06892,0.24719,0.90785,0.81280,0.01271
exp135,40,6,True,2,0.07186,0.25766,0.90667,0.78928,0.00007
exp136,40,6,False,2,0.07186,0.25766,0.90667,0.78928,0.00007
exp137,40,5,True,2,0.07242,0.25846,0.90667,0.80971,0.00000
exp138,40,5,False,2,0.07242,0.25846,0.90667,0.80971,0.00000
exp139,40,4,True,2,0.07504,0.26693,0.90667,0.79482,0.00000
exp140,40,4,False,2,0.07504,0.26693,0.90667,0.79482,0.00000
exp141,20,10,True,2,0.06670,0.23803,0.91024,0.82699,0.04007
exp142,20,10,False,2,0.06670,0.23803,0.91024,0.82699,0.04007
exp143,20,8,True,2,0.06856,0.24789,0.91003,0.79551,0.03700
exp144,20,8,False,2,0.06856,0.24789,0.91003,0.79551,0.03700
exp145,20,6,True,2,0.07156,0.25583,0.90674,0.79210,0.00100
exp146,20,6,False,2,0.07156,0.25583,0.90674,0.79210,0.00100
exp147,20,5,True,2,0.07191,0.25629,0.90669,0.81195,0.00021
exp148,20,5,False,2,0.07191,0.25629,0.90669,0.81195,0.00021
exp149,20,4,True,2,0.07431,0.26406,0.90667,0.81193,0.00000
exp150,20,4,False,2,0.07431,0.26406,0.90667,0.81193,0.00000
